Date,Open,High,Low,Close,Volume,Adj Close
2001-01-26,136.21,136.21,136.21,136.21,0,165.29
2001-01-25,134.78,134.78,134.78,134.78,0,163.56
2001-01-24,133.53,133.53,133.53,133.53,0,162.04
2001-01-23,128.53,128.53,128.53,128.53,0,155.97
2001-01-22,131.66,131.66,131.66,131.66,0,159.77
2001-01-19,134.22,134.22,134.22,134.22,0,162.87
2001-01-18,131.66,131.66,131.66,131.66,0,159.77
2001-01-17,131.09,131.09,131.09,131.09,0,159.08
2001-01-16,126.82,126.82,126.82,126.82,0,153.9
2001-01-15,131.66,131.66,131.66,131.66,0,159.77
2001-01-12,134.22,134.22,134.22,134.22,0,162.87
2001-01-11,128.98,128.98,128.98,128.98,0,156.52
2001-01-10,123.41,123.41,123.41,123.41,0,149.76
2001-01-09,125.12,125.12,125.12,125.12,0,151.83
2001-01-08,129.55,129.55,129.55,129.55,0,157.21
2001-01-05,137.8,137.8,137.8,137.8,0,167.22
2001-01-04,135.92,135.92,135.92,135.92,0,164.94
2001-01-03,127.96,127.96,127.96,127.96,0,155.28
2001-01-02,137.34,137.34,137.34,137.34,0,166.67
2001-01-01,139.62,139.62,139.62,139.62,0,169.43
2000-12-29,139.62,139.62,139.62,139.62,0,169.43
2000-12-28,132.51,132.51,132.51,132.51,0,160.8
2000-12-27,135.07,135.07,135.07,135.07,0,163.91
2000-12-26,131.94,131.94,131.94,131.94,0,160.11
2000-12-25,131.94,131.94,131.94,131.94,0,160.11
2000-12-22,131.94,131.94,131.94,131.94,0,160.11
2000-12-21,133.08,133.08,133.08,133.08,0,161.49
2000-12-20,139.33,139.33,139.33,139.33,0,169.08
2000-12-19,144.45,144.45,144.45,144.45,0,175.29
2000-12-18,146.16,146.16,146.16,146.16,0,177.36
2000-12-15,144.05,144.05,144.05,144.05,0,174.81
2000-12-14,143.88,143.88,143.88,143.88,0,174.6
2000-12-13,152.41,152.41,152.41,152.41,0,184.95
2000-12-12,157.25,157.25,157.25,157.25,0,190.82
2000-12-11,155.83,155.83,155.83,155.83,0,189.1
2000-12-08,150.71,150.71,150.71,150.71,0,182.89
2000-12-07,149.74,149.74,149.74,149.74,0,181.71
2000-12-06,152.41,152.41,152.41,152.41,0,184.95
2000-12-05,145.87,145.87,145.87,145.87,0,177.02
2000-12-04,142.18,142.18,142.18,142.18,0,172.53
2000-12-01,144.45,144.45,144.45,144.45,0,175.29
2000-11-30,137.23,137.23,137.23,137.23,0,166.53
2000-11-29,139.9,139.9,139.9,139.9,0,169.77
2000-11-28,137.91,137.91,137.91,137.91,0,167.36
2000-11-27,145.59,145.59,145.59,145.59,0,176.67
2000-11-24,145.59,145.59,145.59,145.59,0,176.67
2000-11-23,142.18,142.18,142.18,142.18,0,172.53
2000-11-22,137.34,137.34,137.34,137.34,0,166.67
2000-11-21,141.61,141.61,141.61,141.61,0,171.84
2000-11-20,140.36,140.36,140.36,140.36,0,170.32
2000-11-17,149.57,149.57,149.57,149.57,0,181.1
2000-11-16,151.28,151.28,151.28,151.28,0,183.17
2000-11-15,149.86,149.86,149.86,149.86,0,181.45
2000-11-14,149.29,149.29,149.29,149.29,0,180.76
2000-11-13,135.52,135.52,135.52,135.52,0,164.1
2000-11-10,139.33,139.33,139.33,139.33,0,168.71
2000-11-09,142.18,142.18,142.18,142.18,0,172.15
2000-11-08,145.76,145.76,145.76,145.76,0,176.49
2000-11-07,146.73,146.73,146.73,146.73,0,177.66
2000-11-06,138.2,138.2,138.2,138.2,0,167.33
2000-11-03,143.88,143.88,143.88,143.88,0,174.22
2000-11-02,143.88,143.88,143.88,143.88,0,174.22
2000-11-01,157.42,157.42,157.42,157.42,0,190.61
2000-10-31,163.11,163.11,163.11,163.11,0,197.49
2000-10-30,163.11,163.11,163.11,163.11,0,197.49
2000-10-27,160.95,160.95,160.95,160.95,0,194.88
2000-10-26,153.55,153.55,153.55,153.55,0,185.92
2000-10-25,158.1,158.1,158.1,158.1,0,191.43
2000-10-24,162.08,162.08,162.08,162.08,0,196.25
2000-10-23,159.81,159.81,159.81,159.81,0,193.5
